@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
0,0,1,0,8,2557,0.463643,1,0.534872,35,?
0,3,0,0,5,4000,0.106723,0,1,31,?
0,0,0,0,5,5343,0.146707,0,0.334592,40,?
0,0,0,0,3,1350,0.219097,0,0.629874,26,?
0,0,2,0,16,5063,0.62342,0,0.237873,51,?
0,98,0,98,0,3166,0.007578,98,1,37,?
1,2,2,7,7,3712,0.996499,2,0.988005,31,?
0,0,2,0,5,3637,0.371633,0,0,42,?
0,0,2,0,9,4583,0.747164,0,0.616946,63,?
0,2,0,0,7,?,409,2,0.460285,58,?
0,0,1,0,4,3500,0.436447,0,0.065625,48,?
0,1,0,3,2,?,1330,1,1,34,?
0,0,0,0,6,6666,0.0009,0,0.004822,66,?
1,0,2,0,11,?,3840,0,0.336867,36,?
1,0,2,0,5,26000,0.251875,0,0.179851,54,?
0,0,1,0,6,13406,0.236817,0,0.327334,35,?
0,0,2,0,7,8500,0.345489,0,0.758129,58,?
0,0,2,0,13,6250,0.513518,1,0.227562,61,?
0,0,2,0,3,8666,0.230183,0,0.049048,39,?
0,0,1,0,14,10472,0.096725,0,0.063622,65,?
4,2,1,0,8,3000,0.619793,5,0.395039,66,?
0,0,1,1,9,1800,1.05719,0,1,49,?
?,0,0,0,3,?,274,0,0.188436,80,?
0,0,2,0,10,3450,0.241959,6,0.170567,67,?
0,1,0,1,6,4700,0.359923,5,1.036328,35,?
0,0,0,0,1,500,0,0,1,23,?
0,0,8,0,13,6000,1.990002,0,0,40,?
0,1,1,0,15,9800,0.200286,1,0.888239,50,?
2,0,0,0,3,3600,0.090808,1,0.644711,24,?
0,0,4,0,15,?,7041,0,0.720492,36,?
0,0,1,0,11,9800,3.842057,0,0.743819,56,?
0,2,1,1,15,2960,0.840594,1,1.09054,59,?
0,0,0,0,2,694,0.044604,0,0.210758,54,?
0,0,1,0,6,5000,0.286743,0,0.134656,80,?
0,0,4,0,12,5500,1.271042,0,0.114155,69,?
1,1,0,1,10,1795,0.031737,1,0.095045,89,?
0,0,1,0,7,12300,0.414682,0,0.15035,56,?
0,0,0,0,1,0,0,0,0,21,?
2,0,2,0,10,18000,0.30465,3,0.332547,42,?
0,0,0,0,5,4400,0.057487,0,0.171413,52,?
0,0,0,0,8,5000,0.218156,0,0.255126,80,?
5,1,1,1,15,9433,0.259911,1,0.834865,42,?
