@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
0,0,1,0,4,13793,0.073148,0,0.070854,55,0
3,0,2,0,9,10257,0.182882,1,0.133063,49,0
0,0,2,0,18,4950,0.492022,0,0.054497,56,0
0,0,0,0,6,8168,0.122904,0,0.015272,68,0
0,0,1,0,12,4500,0.3517,0,0,59,0
0,0,1,0,4,?,994,1,0.175728,43,0
0,0,2,0,7,4550,0.517469,0,0,48,0
1,0,1,0,6,?,1593,0,0.946964,35,0
2,0,0,0,5,3556,0.1535,0,1.953488,38,1
2,0,2,0,10,5081,0.705628,0,0.191002,54,0
3,0,1,0,9,2300,0.536289,0,0.371875,29,0
0,0,1,0,7,9230,0.199762,0,0.100773,41,0
0,0,2,0,12,1,2221.5,0,0.063514,57,0
0,0,1,0,6,5178,0.130141,0,1,79,0
0,0,1,0,2,?,862,0,0,59,0
0,0,2,0,18,9400,0.358153,0,0.319191,49,0
0,0,2,0,17,7667,0.478091,0,0.355928,48,0
0,0,0,0,2,4015,0.016683,0,0.090642,69,0
0,1,0,3,9,2500,0.54938,1,0.339504,89,1
2,0,0,0,13,0,723,0,0.155742,39,0
2,0,2,0,18,3850,1.383017,0,0.392141,54,0
0,0,3,0,13,11916,0.4048,0,0.04674,57,0
0,1,1,0,6,?,1434,2,0.321458,46,1
3,0,0,0,17,11666,0.166452,0,0.386084,49,0
1,0,1,0,21,7035,0.457931,0,0.192722,77,0
0,0,0,2,1,4000,0.177956,0,1,32,1
2,0,1,0,9,?,2958,0,0.079538,53,0
0,0,1,0,11,1666,0.668266,0,0.016142,76,0
1,0,3,0,7,7166,0.369192,0,0,55,0
2,0,1,0,5,3500,0.441874,0,0,32,0
0,0,1,0,5,0,2231,0,0.292568,64,0
0,1,2,0,6,0,11311,0,0.734284,45,1
0,0,1,0,14,5476,0.447143,0,0.047294,57,0
0,0,1,0,5,6916,0.32225,0,0.119461,34,0
0,0,1,0,10,11000,0.226434,0,0.12842,59,0
0,0,2,0,7,2500,0.551779,0,0,39,0
2,0,2,0,21,?,7806,0,0.04276,52,0
2,0,0,0,8,10000,0.224578,0,0.041367,45,0
3,0,0,0,13,?,817,0,0.194273,53,0
0,0,0,0,22,6300,0.156959,0,0.319379,59,0
0,0,0,0,8,?,346,0,0,26,0
0,0,0,0,2,?,19,0,0.024035,63,0
0,0,0,0,13,?,1132,0,0.039609,50,0
0,0,0,0,3,2253,0.153061,0,1,27,1
3,0,2,0,9,1641,2.579172,0,0.996102,43,1
0,0,2,0,22,13782,0.469419,1,0.530405,61,0
0,0,1,0,6,?,1004,0,0.022421,72,0
0,0,2,0,12,12500,0.225742,0,0.192535,38,0
2,0,2,0,3,7150,0.372395,0,0,37,0
0,0,2,0,12,5468,0.447431,0,0.009917,64,0
0,3,0,1,7,?,773,5,0.954449,55,1
1,0,2,0,13,5976,0.592103,0,0.544761,58,0
3,0,0,0,3,8494,0.03402,0,0.099273,58,0
0,0,2,0,24,6600,0.554916,0,0.22782,77,0
1,0,1,0,9,1614,0.634675,0,0,68,0
3,0,3,0,11,11250,0.381655,0,0.472496,42,0
2,0,2,0,7,9000,0.248861,0,0.018457,53,0
0,0,5,0,16,18694,0.363573,0,0,66,0
0,0,2,0,8,9750,0.469695,0,0.857122,64,0
0,0,1,0,11,?,1609,0,0.180297,62,0
2,0,2,0,10,4083,0.60284,0,0.205031,39,0
1,1,1,0,10,3526,0.490218,3,1.083406,55,1
0,0,0,0,8,1000,1.412587,0,0.443379,42,1
2,0,2,0,10,8200,0.445555,0,0.128842,37,0
0,0,1,0,5,5895,0.289518,0,0.24637,73,0
0,0,1,0,14,5500,0.141974,0,0.032439,86,0
2,0,1,0,11,3583,0.303013,0,0.483301,40,0
0,0,2,0,6,3400,0.900911,1,1,35,1
0,2,0,1,4,2833,0.270289,0,0.918342,33,1
0,0,2,0,10,?,2391,0,0,51,0
0,0,6,0,46,23033,0.420292,0,0.267369,50,0
2,0,2,0,8,12999,0.443923,0,0.447466,44,0
0,0,0,0,9,3000,0.214595,0,0.558874,30,0
0,0,0,0,3,820,0.633374,0,0,25,0
1,0,1,0,9,5893,0.33848,0,0.044178,31,0
0,0,2,0,7,11000,0.194619,5,1,63,1
0,0,2,0,3,372,14.018767,0,0.012399,66,0
0,0,0,0,3,8333,0.00108,0,0.006161,41,0
1,0,1,1,5,5147,0.492424,0,1,41,1
0,0,1,0,7,4705,0.129409,0,0.014084,67,0
1,0,0,0,5,4000,0.018495,0,0.041397,64,0
?,0,1,0,6,?,1102,0,0.036632,61,0
0,0,1,0,18,?,1557,0,0.071618,70,0
0,0,1,0,8,7595,0.182859,0,0.073917,44,0
0,0,3,0,10,12700,0.310054,0,0.086283,61,0
1,0,2,0,10,5833,0.465547,0,0.76305,63,0
0,0,1,0,14,5003,0.226219,0,0.093598,62,0
1,0,1,0,5,25000,0.130235,0,0.170236,57,0
3,0,2,0,7,13500,0.298645,0,0.127202,45,0
4,0,2,0,11,8692,0.374094,0,0.659891,41,0
?,0,0,0,4,?,4,0,0.002586,68,0
0,0,0,0,3,?,279,0,0.163401,63,0
1,1,1,2,8,3050,1.433628,6,0.769765,37,1
0,0,2,1,6,12000,0.286726,2,0.772891,55,1
0,0,0,0,4,4050,0.088126,0,0.023249,36,0
1,0,0,0,15,3056,0.180242,0,0.207917,48,0
0,0,1,0,4,3783,0.718816,0,0.005643,68,0
1,0,1,0,26,4916,0.431157,1,0.229616,49,0
?,0,0,0,9,?,35,0,0.027904,81,0
0,0,1,0,5,8000,0.195851,0,0,67,0
1,1,0,0,11,5731,0.182833,2,0.741506,43,1
2,0,0,0,8,7016,0.113866,3,0.979247,33,1
0,0,1,0,4,?,2336,0,0.032886,71,0
0,0,0,0,1,?,42,0,0.190641,26,0
0,0,1,0,8,13000,0.263134,0,0,47,0
0,0,2,0,7,5200,0.448183,0,0.331932,33,0
0,0,0,0,6,4916,0.004881,0,0.006702,53,0
0,0,1,0,7,3584,0.267782,0,0.007946,69,0
0,0,0,0,3,2400,0.101624,1,0.114935,35,0
4,0,1,0,3,6000,0.063323,0,0.358804,37,0
0,0,2,0,9,3500,0.72008,1,0.266557,65,0
0,0,1,0,8,?,1931,0,0.955391,59,0
0,0,2,0,14,7407,0.508774,0,0.819311,51,0
0,0,0,0,12,8379,0.010382,0,0.025079,64,0
0,0,0,0,8,1600,0.402249,0,0.190258,48,0
1,0,0,0,2,?,42,1,0.099154,63,0
0,1,1,1,3,1500,1.018654,0,1,36,1
0,0,1,0,3,3937,0.37354,1,0.057662,57,0
0,0,5,0,12,7000,0.671047,0,0.038823,76,0
0,0,1,0,7,4780,0.934951,0,0.071202,68,0
0,0,0,0,9,3200,0.00906,0,0.015856,74,0
3,0,2,0,7,4800,0.530306,0,0.95558,51,1
1,0,0,0,4,5020,0.009958,0,0.074102,80,0
0,0,0,0,9,9519,0.07563,0,0.034043,63,0
0,0,1,0,5,2481,0.188961,0,0.001444,53,0
0,0,1,0,9,6500,0.192124,0,0.114681,71,0
1,0,1,0,21,6981,0.159553,0,0.004544,64,0
0,0,0,0,14,3811,0.787513,0,1.043091,60,1
0,0,0,0,10,9803,0.004386,0,0.010038,58,0
1,0,1,0,11,7083,0.153303,0,0.036269,68,0
0,0,1,0,11,2833,0.274524,0,0.028047,56,0
0,0,0,0,2,?,0,0,1,34,1
0,0,1,0,17,11933,0.168594,0,0.007893,60,0
0,0,0,0,8,6500,0.096447,0,0.293852,35,0
1,0,0,0,12,3780,0.372917,0,0.788892,28,1
?,0,0,0,17,?,37,0,0.007047,68,0
0,0,1,0,11,5640,0.388052,1,0.219131,56,0
2,0,2,0,5,6308,0.310667,0,0.444105,43,0
1,0,2,0,17,9325,0.619451,0,0.433113,54,0
0,0,1,0,11,?,1744,1,0.009395,61,0
0,0,0,0,4,2400,0.237818,0,0.265656,36,0
1,0,1,0,12,5500,0.698782,0,0.221174,62,0
0,0,0,0,5,2500,0.016793,0,0.01379,30,0
2,0,1,0,12,6666,0.258587,1,0.446818,37,0
3,0,0,0,21,7900,0.031515,0,0.015346,43,0
0,0,0,0,3,4991,0.003005,0,0.013225,80,0
